event_id,event_date,result,stake,pnl,bankroll
E051,2024-03-08,win,26.7876,45.539,1045.539
E052,2024-03-09,win,43.9976,35.1981,1080.737
E053,2024-03-10,loss,28.1353,-28.1353,1052.6017
E054,2024-03-11,win,33.0385,59.4693,1112.071
E055,2024-03-12,win,49.9864,49.9864,1162.0574
E056,2024-03-13,loss,20.2728,-20.2728,1141.7846
E057,2024-03-15,win,21.3777,16.0333,1157.8179
E058,2024-03-16,loss,42.2261,-42.2261,1115.5918
E061,2024-03-20,win,55.7796,50.2016,1165.7934
E062,2024-03-21,win,26.2182,28.84,1194.6334
E063,2024-03-22,win,59.7317,77.6512,1272.2846
E066,2024-03-26,push,44.5798,0.0,1272.2846
E067,2024-03-27,loss,39.4975,-39.4975,1232.787
E068,2024-03-28,win,59.8985,41.9289,1274.7159
